source_id,project_name,state,district,scheme,price_min,price_max,property_type,project_status,developer_name,address,source_url,retrieved_at,latitude,longitude,total_units,available_units,unit_types,external_project_url,developer_address,raw_location
PPAM_115,PPAM PENGERANG (TAMAN YPJ PUNGGAI PENGERANG),Johor,Kota Tinggi,Perumahan Penjawat Awam Malaysia (PPAM),278800,278800,RUMAH TERES,,YPJ BUILDERS SDN BHD,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.431225,104.273002,300,30,RUMAH TERES,https://apps.ppam.gov.my/login,"NO 40 JALAN SRI PERKASA 1/3 , TAMAN TAMPOI UTAMA , 81200 JOHOR BAHRU , JOHOR BAHRU , JOHOR","KOTA TINGGI, JOHOR"
PPAM_673,TAMAN SAUJANA,Johor,Kluang,Perumahan Penjawat Awam Malaysia (PPAM),300000,300000,RUMAH TERES,,MARVEL PLUS DEVELOPMENT SDN BHD,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,2.01347,103.16405,8,8,RUMAH TERES,https://apps.ppam.gov.my/login,"NO. 48B, 2ND & 3RD FLOOR, JALAN SENTOL , KLUANG PARADE , 86000 KLUANG , KLUANG , JOHOR","KLUANG, JOHOR"
PPAM_681,TAMAN PUTERIMAS FASA 2,Johor,Kluang,Perumahan Penjawat Awam Malaysia (PPAM),240000,240000,RUMAH TERES,,GENE & QUIN REALTY SDN. BHD.,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,2.0794754,103.3538961,66,53,RUMAH TERES,https://apps.ppam.gov.my/login,"LOT 1707 , JALAN KIYAI HAJI HASHIM , 75450 BUKIT BARU, MELAKA , MELAKA TENGAH , MELAKA","KLUANG, JOHOR"
PPAM_713,TAMAN KIRANA,Johor,Kluang,Perumahan Penjawat Awam Malaysia (PPAM),262520,262520,RUMAH TERES,,LEBAR KLASSIK SDN BHD,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.93063,103.19937,218,218,RUMAH TERES,https://apps.ppam.gov.my/login,"1765, 1ST. FLOOR , TAMAN RASAH UTAMA, JALAN RASAH , 70300 SEREMBAN , SEREMBAN , NEGERI SEMBILAN","KLUANG, JOHOR"
PPAM_749,RESIDENSI SEDILI,Johor,Kota Tinggi,Perumahan Penjawat Awam Malaysia (PPAM),225650,441853,RUMAH TERES,,UDA LAND (SOUTH) SDN BHD,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.924651,104.094334,31,18,RUMAH TERES,https://apps.ppam.gov.my/login,"WISMA SBBU, NO.1 , JALAN PADI MAHSURI 12, BANDAR BARU UDA , 81200 JOHOR BAHRU , JOHOR BAHRU , JOHOR","KOTA TINGGI, JOHOR"
PR1MA_100,RESIDENSI BANDAR LAYANGKASA,Johor,Pasir Gudang,PR1MA Homes,185000,185000,RUMAH TERES,,PR1MA CORPORATION MALAYSIA,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.521878,103.955863,475,,RUMAH TERES,https://www.pr1ma.my/pr1ma-properties/hms/homes/bm,"7th FLOOR, BLOCK F, NO 2, JALAN PJU 1A/7A, OASIS SQUARE, OASIS DAMANSARA, 47301 PETALING JAYA","PASIR GUDANG, JOHOR"
PR1MA_101,RESIDENSI TEBRAU,Johor,Johor Bahru,PR1MA Homes,169000,169000,APARTMEN,,PR1MA CORPORATION MALAYSIA,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.506465,103.762678,1284,,APARTMEN,https://www.pr1ma.my/pr1ma-properties/hms/homes/bm,"7th FLOOR, BLOCK F, NO 2, JALAN PJU 1A/7A, OASIS SQUARE, OASIS DAMANSARA, 47301 PETALING JAYA","JOHOR BAHRU, JOHOR"
PR1MA_102,RESIDENSI KOTA TINGGI,Johor,Kota Tinggi,PR1MA Homes,259200,259200,RUMAH TERES,,PR1MA CORPORATION MALAYSIA,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.735123,103.710124,625,,RUMAH TERES,https://www.pr1ma.my/pr1ma-properties/hms/homes/bm,"7th FLOOR, BLOCK F, NO 2, JALAN PJU 1A/7A, OASIS SQUARE, OASIS DAMANSARA, 47301 PETALING JAYA","KOTA TINGGI, JOHOR"
PR1MA_103,RESIDENSI LARKIN INDAH,Johor,Johor Bahru,PR1MA Homes,288150,288150,APARTMEN,,PR1MA CORPORATION MALAYSIA,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.497664,103.735553,1174,,APARTMEN,https://www.pr1ma.my/pr1ma-properties/hms/homes/bm,"7th FLOOR, BLOCK F, NO 2, JALAN PJU 1A/7A, OASIS SQUARE, OASIS DAMANSARA, 47301 PETALING JAYA","JOHOR BAHRU, JOHOR"
PR1MA_104,RESIDENSI PELANGI INDAH,Johor,Johor Bahru,PR1MA Homes,280500,280500,APARTMEN,,PR1MA CORPORATION MALAYSIA,,https://teduh.kpkt.gov.my/projek?source=Perumahan+Awam,2026-08-20T10:40:07.344569+00:00,1.578198,103.79947,720,,APARTMEN,https://www.pr1ma.my/pr1ma-properties/hms/homes/bm,"7th FLOOR, BLOCK F, NO 2, JALAN PJU 1A/7A, OASIS SQUARE, OASIS DAMANSARA, 47301 PETALING JAYA","JOHOR BAHRU, JOHOR"
